Tamaño,Insercion,Burbuja,BurbujaOpt,Seleccion,MergeSort,QuickSort,HeapSort,ShellSort
10,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0
30,0,0,0,0,144.7,0,0,0
40,127.5,0,0,0,0,0,100.3,0
50,0,99.6,0,0,99.8,0,0,0
60,0,0,0,0,0,0,100.2,0
70,0,0,99.7,0,100.9,0,0,0
80,0,101.5,98.3,100.4,99.1,0,0,0
90,0,99.8,102.8,0,100,99.7,0,0
100,0,0,100.4,0,99.6,0,0,0
110,112.9,99.8,199.8,100,99.2,0,100,0
120,0,199.4,100.3,99.8,0,0,0,0
130,0,100,199.9,100,100.1,100,0,0
140,0,201.4,99.9,100.3,128.1,0,0,0
150,99.9,199.9,199.5,200.5,199.9,0,0,0
160,199.8,99.8,199.5,99.9,200.4,0,0,0
170,199.7,200,100,199.7,100,0,0,0
180,100.3,399.6,302.4,198.7,200.7,0,98.7,0
190,99.9,402.7,278,200.5,199.3,0,0,99.8
200,99.9,408.6,361.8,202.8,244.7,0,99.7,0
210,103.1,627.3,541.9,98.6,199.8,100,0,99.4
220,102.9,500.4,425.6,302.5,100.1,0,0,99.8
230,199.9,602.3,496.8,99.6,99.9,0,100.5,99.9
240,198.4,499.8,303.9,301.2,202.2,0,100.6,0
250,102.4,497.9,597.2,199.9,299.7,100.3,0,132.4
260,232.8,704.4,497.4,299.8,299.9,0,0,0
270,300.1,624,553.8,401.7,298.2,0,0,0
280,301.3,799.8,951.5,399.1,200.8,99.6,99.9,203.1
290,241.1,799.4,600,502.5,297.3,0,99.9,200.3
300,208.3,899.4,818.5,499.8,201.8,100.2,200.1,99.8
310,298.5,1100.4,859.6,553.7,301.8,98.6,99.8,99.4
320,399.1,999,854.9,607.6,426.5,99.7,199.7,0
330,413.3,1199.5,1123.5,496.9,300,99.7,150.6,101.4
340,399.9,999.5,799.3,599.3,303.7,100.4,100.1,99.7
350,500,1097.6,1099.4,500.1,299.9,0,99.3,99.9
360,345.1,1156,1099.9,699.1,304.8,100,200,99.9
370,323.6,1199.6,1178.6,640.2,299.9,0,97.9,99.5
380,299.3,1225.6,1044.8,857.5,433.9,0,100,99.9
390,400.3,1499.9,1251.7,803.2,423.4,99.5,200.3,0
400,444.2,1498.1,1568.7,819.6,625.8,0,99.8,199.9
410,527.2,1701.9,1654.1,1038.8,401.9,0,99.2,100
