Tama�o,Insercion,Burbuja,BurbujaOpt,Seleccion,MergeSort,QuickSort,HeapSort,ShellSort
10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30,0.00,0.00,0.00,0.00,144.70,0.00,0.00,0.00
40,127.50,0.00,0.00,0.00,0.00,0.00,100.30,0.00
50,0.00,99.60,0.00,0.00,99.80,0.00,0.00,0.00
60,0.00,0.00,0.00,0.00,0.00,0.00,100.20,0.00
70,0.00,0.00,99.70,0.00,100.90,0.00,0.00,0.00
80,0.00,101.50,98.30,100.40,99.10,0.00,0.00,0.00
90,0.00,99.80,102.80,0.00,100.00,99.70,0.00,0.00
100,0.00,0.00,100.40,0.00,99.60,0.00,0.00,0.00
110,112.90,99.80,199.80,100.00,99.20,0.00,100.00,0.00
120,0.00,199.40,100.30,99.80,0.00,0.00,0.00,0.00
130,0.00,100.00,199.90,100.00,100.10,100.00,0.00,0.00
140,0.00,201.40,99.90,100.30,128.10,0.00,0.00,0.00
150,99.90,199.90,199.50,200.50,199.90,0.00,0.00,0.00
160,199.80,99.80,199.50,99.90,200.40,0.00,0.00,0.00
170,199.70,200.00,100.00,199.70,100.00,0.00,0.00,0.00
180,100.30,399.60,302.40,198.70,200.70,0.00,98.70,0.00
190,99.90,402.70,278.00,200.50,199.30,0.00,0.00,99.80
200,99.90,408.60,361.80,202.80,244.70,0.00,99.70,0.00
210,103.10,627.30,541.90,98.60,199.80,100.00,0.00,99.40
220,102.90,500.40,425.60,302.50,100.10,0.00,0.00,99.80
230,199.90,602.30,496.80,99.60,99.90,0.00,100.50,99.90
240,198.40,499.80,303.90,301.20,202.20,0.00,100.60,0.00
250,102.40,497.90,597.20,199.90,299.70,100.30,0.00,132.40
260,232.80,704.40,497.40,299.80,299.90,0.00,0.00,0.00
270,300.10,624.00,553.80,401.70,298.20,0.00,0.00,0.00
280,301.30,799.80,951.50,399.10,200.80,99.60,99.90,203.10
290,241.10,799.40,600.00,502.50,297.30,0.00,99.90,200.30
300,208.30,899.40,818.50,499.80,201.80,100.20,200.10,99.80
310,298.50,1100.40,859.60,553.70,301.80,98.60,99.80,99.40
320,399.10,999.00,854.90,607.60,426.50,99.70,199.70,0.00
330,413.30,1199.50,1123.50,496.90,300.00,99.70,150.60,101.40
340,399.90,999.50,799.30,599.30,303.70,100.40,100.10,99.70
350,500.00,1097.60,1099.40,500.10,299.90,0.00,99.30,99.90
360,345.10,1156.00,1099.90,699.10,304.80,100.00,200.00,99.90
370,323.60,1199.60,1178.60,640.20,299.90,0.00,97.90,99.50
380,299.30,1225.60,1044.80,857.50,433.90,0.00,100.00,99.90
390,400.30,1499.90,1251.70,803.20,423.40,99.50,200.30,0.00
400,444.20,1498.10,1568.70,819.60,625.80,0.00,99.80,199.90
410,527.20,1701.90,1654.10,1038.80,401.90,0.00,99.20,100.00
420,599.20,1585.10,1699.60,1099.20,400.10,0.00,199.30,99.90
430,734.50,1699.30,1600.80,950.70,439.30,0.00,199.90,100.00
440,715.30,2000.10,1806.60,997.30,399.30,100.00,200.60,100.10
450,498.30,2702.90,1533.10,998.20,399.90,100.00,99.90,0.00
